grand,grande
petit,petite
haut,haute
bas,basse
large,large
etroit,etroite
gros,grosse
mince,mince
epais,epaisse
fin,fine
long,longue
court,courte
lourd,lourde
leger,legere
dense,dense
compact,compacte
poreux,poreuse
solide,solide
liquide,liquide
gazeux,gazeuse
visqueux,visqueuse
fluide,fluide
rigide,rigide
flexible,flexible
elastique,elastique
cassant,cassante
resistant,resistante
fragile,fragile
robuste,robuste
durable,durable
perissable,perissable
stable,stable
instable,instable
fort,forte
faible,faible
puissant,puissante
impotent,impotente
rapide,rapide
lent,lente
vif,vive
paresseux,paresseuse
actif,active
passif,passive
dynamique,dynamique
statique,statique
energique,energique
fatigue,fatiguee
endurant,endurante
sensible,sensible
vulnerable,vulnerable
immuable,immuable
eternel,eternelle
ephemere,ephemere
immortel,immortelle
mortel,mortelle
vivant,vivante
mort,morte
organique,organique
naturel,naturelle
biologique,biologique
chimique,chimique
mecanique,mecanique
electrique,electrique
magnetique,magnetique
optique,optique
nucleaire,nucleaire
atomique,atomique
amorphe,amorphe
pur,pure
impur,impure
contamine,contaminee
sterile,sterile
fertile,fertile
humide,humide
sec,seche
mouille,mouillee
trempe,trempee
imbibe,imbibee
sature,saturee
rehydrate,rehydratee
charge,chargee
decharge,dechargee
ionise,ionisee
acide,acide
basique,basique
neutre,neutre
sale,salee
sucre,sucree
amer,amere
piquant,piquante
epice,epicee
parfume,parfumee
odorant,odorante
mûr,mûre
immature,immature
pourri,pourrie
decompose,decomposee
fermente,fermentee
moisi,moisie
propre,propre
net,nette
flou,floue
clair,claire
obscur,obscure
opaque,opaque
brillant,brillante
mat,mate
luisant,luisante
terne,terne
chatoyant,chatoyante
absorbant,absorbante
isolant,isolante
lumineux,lumineuse
sombre,sombre
eclaire,eclairee
colore,coloree
incolore,incolore
thermique,thermique
chaud,chaude
froid,froide
tiede,tiede
brûlant,brûlante
glace,glacee
congele,congelee
surgele,surgelee
decongele,decongelee
fondu,fondue
solidifie,solidifiee
vaporise,vaporisee
condense,condensee
sublime,sublimee
desseche,dessechee
hydrate,hydratee
humidifie,humidifiee
seche,sechee
evapore,evaporee
distille,distillee
filtre,filtree
purifie,purifiee
sterilise,sterilisee
irradie,irradiee
fume,fumee
marine,marinee
saumure,saumuree
acidifie,acidifiee
bouilli,bouillie
frit,frite
grille,grillee
roti,rotie
braise,braisee
poche,pochee
saute,sautee
mijote,mijotee
moulu,moulue
broye,broyee
ecrase,ecrasee
melange,melangee
leve,levee
aere,aeree
presse,pressee
comprime,comprimee
etire,etiree
compresse,compressee
dilate,dilatee
contracte,contractee
retracte,retractee
gonfle,gonflee
degonfle,degonflee
plie,pliee
replie,repliee
deplie,depliee
tordu,tordue
enroule,enroulee
deroule,deroulee
noue,nouee
denoue,denouee
tresse,tressee
detresse,detressee
cousu,cousue
decousu,decousue
colle,collee
decolle,decollee
